Time: 0.01 s, Pressure: 3.14 bar, Temperature: 95.50 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.50, Pressure Error: 5.86, PWM Duty Cycle: 0.00 %
Time: 0.02 s, Pressure: 3.14 bar, Temperature: 95.50 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.50, Pressure Error: 5.86, PWM Duty Cycle: 0.00 %
Time: 0.12 s, Pressure: 2.99 bar, Temperature: 95.50 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.50, Pressure Error: 6.01, PWM Duty Cycle: 0.00 %
Time: 0.20 s, Pressure: 3.08 bar, Temperature: 95.50 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.50, Pressure Error: 5.92, PWM Duty Cycle: 0.00 %
Time: 0.32 s, Pressure: 3.36 bar, Temperature: 95.25 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 5.64, PWM Duty Cycle: 1.98 %
Time: 0.41 s, Pressure: 3.75 bar, Temperature: 95.25 °C, Pressure Output: 100.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 5.25, PWM Duty Cycle: 0.00 %
Time: 0.49 s, Pressure: 4.44 bar, Temperature: 95.25 °C, Pressure Output: 91.89 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 4.56, PWM Duty Cycle: 0.00 %
Time: 0.56 s, Pressure: 5.39 bar, Temperature: 95.25 °C, Pressure Output: 73.07 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.25, Pressure Error: 3.61, PWM Duty Cycle: 0.00 %
Time: 0.64 s, Pressure: 6.73 bar, Temperature: 95.75 °C, Pressure Output: 46.23 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 2.27, PWM Duty Cycle: 0.00 %
Time: 0.71 s, Pressure: 8.02 bar, Temperature: 95.75 °C, Pressure Output: 20.61 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 0.98, PWM Duty Cycle: 0.00 %
Time: 0.80 s, Pressure: 9.12 bar, Temperature: 95.75 °C, Pressure Output: 0.00 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: -0.12, PWM Duty Cycle: 0.00 %
Time: 0.87 s, Pressure: 7.98 bar, Temperature: 95.75 °C, Pressure Output: 21.26 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -0.75, Pressure Error: 1.02, PWM Duty Cycle: 0.00 %
Time: 0.95 s, Pressure: 6.54 bar, Temperature: 96.50 °C, Pressure Output: 50.21 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.50, Pressure Error: 2.46, PWM Duty Cycle: 0.00 %
Time: 1.02 s, Pressure: 5.39 bar, Temperature: 96.50 °C, Pressure Output: 73.17 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.50, Pressure Error: 3.61, PWM Duty Cycle: 0.00 %
Time: 1.11 s, Pressure: 4.92 bar, Temperature: 96.50 °C, Pressure Output: 82.70 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.50, Pressure Error: 4.08, PWM Duty Cycle: 0.00 %
Time: 1.20 s, Pressure: 4.77 bar, Temperature: 96.50 °C, Pressure Output: 85.90 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.50, Pressure Error: 4.23, PWM Duty Cycle: 0.00 %
Time: 1.27 s, Pressure: 4.72 bar, Temperature: 96.75 °C, Pressure Output: 86.92 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.75, Pressure Error: 4.28, PWM Duty Cycle: 0.00 %
Time: 1.35 s, Pressure: 4.85 bar, Temperature: 96.75 °C, Pressure Output: 84.37 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.75, Pressure Error: 4.15, PWM Duty Cycle: 0.00 %
Time: 1.43 s, Pressure: 5.10 bar, Temperature: 96.75 °C, Pressure Output: 79.47 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.75, Pressure Error: 3.90, PWM Duty Cycle: 0.00 %
Time: 1.52 s, Pressure: 5.40 bar, Temperature: 96.75 °C, Pressure Output: 73.57 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -1.75, Pressure Error: 3.60, PWM Duty Cycle: 0.00 %
Time: 1.63 s, Pressure: 5.85 bar, Temperature: 97.00 °C, Pressure Output: 64.54 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.00, Pressure Error: 3.15, PWM Duty Cycle: 0.00 %
Time: 1.74 s, Pressure: 6.40 bar, Temperature: 97.00 °C, Pressure Output: 53.62 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.00, Pressure Error: 2.60, PWM Duty Cycle: 0.00 %
Time: 1.86 s, Pressure: 7.02 bar, Temperature: 97.00 °C, Pressure Output: 41.27 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.00, Pressure Error: 1.98, PWM Duty Cycle: 0.00 %
Time: 1.93 s, Pressure: 7.63 bar, Temperature: 97.75 °C, Pressure Output: 29.06 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 1.37, PWM Duty Cycle: 0.00 %
Time: 2.00 s, Pressure: 8.14 bar, Temperature: 97.75 °C, Pressure Output: 18.89 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.86, PWM Duty Cycle: 0.00 %
Time: 2.08 s, Pressure: 8.44 bar, Temperature: 97.75 °C, Pressure Output: 13.03 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.56, PWM Duty Cycle: 0.00 %
Time: 2.15 s, Pressure: 8.67 bar, Temperature: 97.75 °C, Pressure Output: 8.33 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -2.75, Pressure Error: 0.33, PWM Duty Cycle: 0.00 %
Time: 2.24 s, Pressure: 8.81 bar, Temperature: 98.25 °C, Pressure Output: 5.56 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.19, PWM Duty Cycle: 0.00 %
Time: 2.34 s, Pressure: 8.85 bar, Temperature: 98.25 °C, Pressure Output: 4.81 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.15, PWM Duty Cycle: 0.00 %
Time: 2.41 s, Pressure: 8.83 bar, Temperature: 98.25 °C, Pressure Output: 5.18 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.17, PWM Duty Cycle: 0.00 %
Time: 2.49 s, Pressure: 8.79 bar, Temperature: 98.25 °C, Pressure Output: 5.92 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.21, PWM Duty Cycle: 0.00 %
Time: 2.58 s, Pressure: 8.77 bar, Temperature: 98.25 °C, Pressure Output: 6.34 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.23, PWM Duty Cycle: 0.00 %
Time: 2.65 s, Pressure: 8.73 bar, Temperature: 98.25 °C, Pressure Output: 7.16 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.27, PWM Duty Cycle: 0.00 %
Time: 2.74 s, Pressure: 8.68 bar, Temperature: 98.25 °C, Pressure Output: 8.24 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.25, Pressure Error: 0.32, PWM Duty Cycle: 0.00 %
Time: 2.86 s, Pressure: 8.63 bar, Temperature: 98.50 °C, Pressure Output: 9.11 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.37, PWM Duty Cycle: 0.00 %
Time: 2.95 s, Pressure: 8.58 bar, Temperature: 98.50 °C, Pressure Output: 10.25 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
Time: 3.02 s, Pressure: 8.54 bar, Temperature: 98.50 °C, Pressure Output: 10.96 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.46, PWM Duty Cycle: 0.00 %
Time: 3.09 s, Pressure: 8.49 bar, Temperature: 98.50 °C, Pressure Output: 11.97 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.50, Pressure Error: 0.51, PWM Duty Cycle: 0.00 %
Time: 3.19 s, Pressure: 8.47 bar, Temperature: 98.75 °C, Pressure Output: 12.50 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.53, PWM Duty Cycle: 0.00 %
Time: 3.27 s, Pressure: 8.44 bar, Temperature: 98.75 °C, Pressure Output: 13.08 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.56, PWM Duty Cycle: 0.00 %
Time: 3.36 s, Pressure: 8.41 bar, Temperature: 98.75 °C, Pressure Output: 13.65 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.59, PWM Duty Cycle: 0.00 %
Time: 3.44 s, Pressure: 8.38 bar, Temperature: 98.75 °C, Pressure Output: 14.30 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.62, PWM Duty Cycle: 0.00 %
Time: 3.51 s, Pressure: 8.36 bar, Temperature: 99.00 °C, Pressure Output: 14.62 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.00, Pressure Error: 0.64, PWM Duty Cycle: 0.00 %
Time: 3.57 s, Pressure: 8.36 bar, Temperature: 99.00 °C, Pressure Output: 14.76 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.00, Pressure Error: 0.64, PWM Duty Cycle: 0.00 %
Time: 3.69 s, Pressure: 8.36 bar, Temperature: 99.00 °C, Pressure Output: 14.64 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.00, Pressure Error: 0.64, PWM Duty Cycle: 0.00 %
Time: 3.79 s, Pressure: 8.36 bar, Temperature: 99.25 °C, Pressure Output: 14.76 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.64, PWM Duty Cycle: 0.00 %
Time: 3.88 s, Pressure: 8.35 bar, Temperature: 99.25 °C, Pressure Output: 14.87 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.65, PWM Duty Cycle: 0.00 %
Time: 3.94 s, Pressure: 8.38 bar, Temperature: 99.25 °C, Pressure Output: 14.42 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.62, PWM Duty Cycle: 0.00 %
Time: 4.04 s, Pressure: 8.39 bar, Temperature: 99.25 °C, Pressure Output: 14.24 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.61, PWM Duty Cycle: 0.00 %
Time: 4.12 s, Pressure: 8.41 bar, Temperature: 99.25 °C, Pressure Output: 13.82 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.59, PWM Duty Cycle: 0.00 %
Time: 4.20 s, Pressure: 8.43 bar, Temperature: 99.25 °C, Pressure Output: 13.39 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.57, PWM Duty Cycle: 0.00 %
Time: 4.27 s, Pressure: 8.45 bar, Temperature: 99.25 °C, Pressure Output: 13.05 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.55, PWM Duty Cycle: 0.00 %
Time: 4.36 s, Pressure: 8.46 bar, Temperature: 99.25 °C, Pressure Output: 12.84 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.54, PWM Duty Cycle: 0.00 %
Time: 4.47 s, Pressure: 8.48 bar, Temperature: 99.25 °C, Pressure Output: 12.34 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.25, Pressure Error: 0.52, PWM Duty Cycle: 0.00 %
Time: 4.69 s, Pressure: 8.49 bar, Temperature: 99.50 °C, Pressure Output: 12.29 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.50, Pressure Error: 0.51, PWM Duty Cycle: 0.00 %
Time: 4.78 s, Pressure: 8.50 bar, Temperature: 99.50 °C, Pressure Output: 12.13 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.50, Pressure Error: 0.50, PWM Duty Cycle: 0.00 %
Time: 4.86 s, Pressure: 8.51 bar, Temperature: 99.50 °C, Pressure Output: 11.80 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.50, Pressure Error: 0.49, PWM Duty Cycle: 0.00 %
Time: 4.93 s, Pressure: 8.53 bar, Temperature: 99.50 °C, Pressure Output: 11.50 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -4.50, Pressure Error: 0.47, PWM Duty Cycle: 0.00 %
Time: 5.01 s, Pressure: 8.54 bar, Temperature: 98.75 °C, Pressure Output: 11.19 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.46, PWM Duty Cycle: 0.00 %
Time: 5.11 s, Pressure: 8.55 bar, Temperature: 98.75 °C, Pressure Output: 11.16 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.45, PWM Duty Cycle: 0.00 %
Time: 5.19 s, Pressure: 8.56 bar, Temperature: 98.75 °C, Pressure Output: 10.98 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 5.26 s, Pressure: 8.56 bar, Temperature: 98.75 °C, Pressure Output: 10.89 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.44, PWM Duty Cycle: 0.00 %
Time: 5.35 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.77 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 5.42 s, Pressure: 8.57 bar, Temperature: 98.75 °C, Pressure Output: 10.69 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.43, PWM Duty Cycle: 0.00 %
Time: 5.48 s, Pressure: 8.58 bar, Temperature: 98.75 °C, Pressure Output: 10.59 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
Time: 5.55 s, Pressure: 8.58 bar, Temperature: 98.75 °C, Pressure Output: 10.50 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: -3.75, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
